contract_award_data,published_date,department,cotr,amount,period,period_start,period_end,caption,more_info_pdfDCPL-2014-C-0013,"Wednesday, April 9, 2014",Capital Projects,Jeffrey Bonvechio,"$173,493.00 ","April 15, 2014 through July 1, 2015",15-Apr-14,1-Jul-15,Design/Build for Elevator Modernization at Chevy Chase Library,http://dclibrary.org/sites/default/files/CONTRACTAWARDCover%20Sheet_GDG_Chevy%20Chase%20Elevator.pdfDCPL-2014-C-0005E,"Thursday, March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",24-Jan-14,23-Jan-15,Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005E_ContractAwardDataExecutive.pdfDCPL-2014-C-0005C,"Thursday, March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per yr. Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",24-Jan-14,23-Jan-15,Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005C_ContractAwardDataUG.pdfDCPL-2014-C-0005A,"Thursday, March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per yr. Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",24-Jan-14,23-Jan-15,Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005A_ContractAwardDataKC.pdfDCPL-2014-C-0005D,"Thursday, March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per yr. Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",24-Jan-14,23-Jan-15,Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005D_ContractAwardDataFreeway.pdfDCPL-2014-C-0005B,"Thursday, March 6, 2014",Facilities Division,Jonathan Banks,"Minimum: $10.00/per yr. Maximum: $500,000.00/per yr.","January 24, 2014 through January 23, 2015",24-Jan-14,23-Jan-15,Heavy Glass Installation Services,http://dclibrary.org/sites/default/files/DCPL2014C0005B_ContractAwardDataGSI.pdfDCPL-2014-C-0004,"Thursday, March 6, 2014",Program & Partnerships,Meaghan O'Connor,"$299,600.00 ","February 5, 2014 through September 30, 2014",5-Feb-14,30-Sep-14,Computer Training Classes at 10 DCPL Neighborhood Libraries,http://dclibrary.org/sites/default/files/DCPL2014C0004_ContractAwardData_ComputerTraining.pdfDCPL-2014-C-0003A,"Friday, February 28, 2014",Collections,Elissa Miller,"$99,000.00 ",Base Year/4 One Year Options,null,null,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003A_ContractAward.pdfDCPL-2014-C-0003B,"Friday, February 28, 2014",Collections,Elissa Miller,"$999,000.00 ",Base Year/4 One Year Options,null,null,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003B_ContractAward_0.pdfDCPL-2014-C-0003C,"Friday, February 28, 2014",Collections,Elissa Miller,"$999,000.00 ",Base Year/4 One Year Options,null,null,"Books, Materials and Selected Services",http://dclibrary.org/sites/default/files/DCPL2014C0003C_ContractAward.pdfcontract_award_data,published_date,department,cotr,amount,period,period_start,period_end,caption,more_info_pdf
DCPL-2010-C-0016-A,"Monday, December 6, 2010",Facility Management,Edward Hampton,"$115,651.18",12/02/2010,null,null,Window & Door Replacements & Energy Efficient Lighting Systems (Awarded Energy Efficient Lighting Systems Only),null
DCPL-2010-C-0005N,"Tuesday, November 16, 2010",Capital Construction,Wayne Minor,"$326,562.00",11/16/2010 - 11/17/2011,null,null,General Construction Services Mount Pleasant Library BP-05 (Stone & Masonry),null
DCPL-2009-C-0015C,"Wednesday, November 3, 2010",Capital Construction,Lisa Deanes,"$12,933,685.00",378 calendar days from contractors signed NTP.,null,null,CM @ Risk (GMP for Construction) Francis Gregory Library,null
DCPL-2010-C-0008,"Tuesday, November 2, 2010",Facility Management,Edward Hampton,"$12,713.00 Monthly Firm-Fix Price Yearly Amount $152,556.00",365 calendar days from contractors signed NTP.,null,null,MLK Parking Service,null
DCPL-2010-R-0014,"Friday, October 22, 2010",Facility Management,Edward Hampton,"$297,985.00",365 calendar days from contractors signed NTP.,null,null,System Wide Janitorial Service,null
DCPL-2010-C-0017,"Tuesday, September 14, 2010",Facility Management,Edward Hampton,"$120,000.00",One Hundred Twenty Days (120) From Date of NTP,null,null,"Heating, Ventilation and Air Conditioning Services",null
DCPL-2010-C-0011,"Thursday, September 2, 2010",Collections,Elissa Miller,30% of Net Proceeds,8/26/2010 to 8/25/2011,null,null,Liquidation of Surplus Books and Other Materials,null
DCPL-2010-C-0013,"Monday, August 16, 2010",21st Century Capital Projects,Jeff Bonvechio,"$1,789,742",8/11/2010 to 8/10/2011,null,null,Preconstruction and General Contracting Services for the African-American Civil War Memorial Museum,http://www.scribd.com/fullscreen/35969056?access_key=key-990ul0qiv1s8c5bf4b0
DCPL-2010-C-0015,"Monday, August 16, 2010",21st Century Capital Projects,Jeff Bonvechio,"$189,000",8/12/2010 to 8/11/2011,null,null,Architectural and Engineering Services for the African-American Civil War Memorial Museum,http://www.scribd.com/fullscreen/35969057?access_key=key-rujfkv3uyewwuyc7b4g
DCPL-2010-C-0009,"Wednesday, August 4, 2010",21st Century Capital Projects,Jeff Bonvechio,"Indefinite Delivery/Indefinite Quantity (ID/IQ) Contract with a Minimum Amount $30,000.00 and Maximum Amount 925,000.00 Annually",365 Days from date of Award,null,null,Architectural and Engineering Services for Various Projects at MLK and other DCPL Branch Libraries,http://dclibrary.org/node/9204
DCPL-2010-C-0005B1R,"Wednesday, August 4, 2010",Capital Construction,Chris Wright,"$380,000.00",465 calendar days from contractors signed NTP,null,null,General Construction Services Mount Pleasant Library (BP-01) General Trades,null
DCPL-2010-C-0007M,"Thursday, July 22, 2010",Capital Construction,Chris Wright,"$439,903.00",110 calendar days from contractors signed NTP,null,null,General Construction Services Georgetown Library (BP-19) FF&E,null
PO331707-V2,"Thursday, July 22, 2010",Capital Construction,Lisa Deans,"$13,084,161.79",516 calendar days from contractors signed NTP,null,null,CM @ Risk Washington Highlands Library (Final Construction with GMP),null
DCPL-2010-C-0010,"Tuesday, July 13, 2010",Collections,Elissa Miller,"$163,856.45 Period: 365 Days from signed Notice To Proceed Caption: Serial and",365 Days from signed Notice To Proceed,null,null,Serial and Periodical Subscription Services,null
DCPL-2010-C-0012,"Tuesday, July 13, 2010",Capital Construction,Jeff Bonvechio,"$338,435.79",365 Days from signed Notice To Proceed,null,null,Curatorial and Research Services for the Exhibitions for African American Civil War Memorial Museum,null
DCPL-2010-C-0005K,"Thursday, July 1, 2010",Capital Construction,Chris Wright,"$1,595,830.00",455 calendar days from contractors signed NTP,null,null,"General Construction Services - Mount Pleasant Library BP-15 (HVAC, Plumbing & Fire Protection)",null
DCPL-2010-C-0005M,"Tuesday, June 29, 2010",Capital Construction,Chris Wright,"$960,000.00",455 calendar days from contractors signed NTP,null,null,General Construction Services - Mount Pleasant Library BP-16 (Electrical),null
DCPL-2010-C-0005I,"Friday, June 25, 2010",Capital Construction,Chris Wright,"$302,208.00",110 calendar days from contractors signed NTP,null,null,General Construction Services - Mount Pleasant Library BP-02 (Abatement),null
DCPL-2010-C-0005G,"Friday, June 25, 2010",Capital Construction,Chris Wright,"$671,900.00",410 calendar days from contractors signed NTP,null,null,General Construction Services - Mount Pleasant Library BP-03 (Site Work),null
DCPL-2010-C-0005J,"Thursday, June 24, 2010",Capital Construction,Chris Wright,"$497,000.00",180 calendar days from contractors signed NTP,null,null,General Construction Services - Mount Pleasant Library BP-12 (Terracotta),null
DCPL-2010-C-0005F,"Monday, June 21, 2010",Capital Construction,Chris Wright,"$804,690.00",55 calendar days from contractors signed NTP,null,null,General Construction Services - Mount Pleasant Library BP-13 (Millwork),null
DCPL-2010-C-0005L,"Monday, June 21, 2010",Capital Construction,Chris Wright,"$224,369.00",350 calendar days from contractors signed NTP,null,null,General Construction Services - Mount Pleasant Library BP-11 (Flooring),null
DCPL-2010-C-0005E,"Tuesday, June 15, 2010",Capital Construction,Chris Wright,"$678,000.00",195 calendar days from contractors signed NTP,null,null,General Construction Services - Mount Pleasant Library BP-06 (Structural Steel),null
PO331707,"Monday, June 7, 2010",Capital Construction,Lisa Deans,"$642,332.25",273 calendar days from contractors signed NTP,null,null,CM @ Risk Washington Highlands Library (Phase2/Construction),null
PO303780,"Monday, June 7, 2010",Capital Construction,Lisa Deans,"$536,133.00",235 calendar days from contractors signed NTP,null,null,CM @ Risk Francis Gregory Library (Phase2/Pre-Construction),null
DCPL-2010-C-0005A,"Tuesday, May 25, 2010",Capital Construction,Chris Wright,"$169,744.00",235 days from contractors signed Notice to Proceed,null,null,General Construction Services - Mount Pleasant Library BP-07 (Roofing / Waterproofing),null
DCPL-2010-C-0005C,"Thursday, May 20, 2010",Capital Construction,Chris Wright,"$108,401.00",350 calendar days from contractors signed Notice to Proceed,null,null,General Construction Services - Mount Pleasnat Library BP-10 (Doors & Frames),null
DCPL-2010-C-0005B,"Thursday, May 20, 2010",Capital Construction,Chris Wright,"$551,590.00",410 calendar days from contractors signed Notice to Proceed,null,null,General Construction Services - Mount Pleasant BP-09 (Drywall & Painting),null
DCPL-2010-C-0005D,"Tuesday, May 18, 2010",Capital Construction,Chris Wright,"$440,170.00",null,null,null,null,null
DCPL-2010-C-0006,"Tuesday, May 11, 2010",21st Century Capital Projects,null,null,139 Days from signed Notice to Proceed,null,null,null,http://www.scribd.com/doc/31219146
DCPL-2010-C-0004,null,null,null,null,null,null,null,null,http://www.scribd.com/doc/30535145
DCPL-2009-C-0019K,"Tuesday, February 23, 2010",Capital Construction,Chris Wright,"$10,632,191.00",2/23/2010 - 2/23/2011,null,null,Petworth Library Design-Build Services (GMP),null
DCPL-2009-C-0019L,null,null,Chris Wright,"$294,769.00",2/23/2010 – 9/30/2010,null,null,General Construction Services Georgetown Library BP-17,null
DCPL-2010-C-0002,null,null,Dedric Boyd,"$964,496.00",168 Days from signed Notice to Proceed,null,null,"Furniture and Millwork for the Anacostia, Benning and Watha T. Daniel/Shaw Libraries",null
DCPL-2009-C-0019K,"Thursday, January 7, 2010",Capital Construction,Chris Wright,"$526,350.00",1/4/2010 - 8/13/2010,null,null,General Construction Services - Georgetown Library BP-18 (Glass & Glazing),null
DCPL-2010-C-0001,"Thursday, December 24, 2009",21st Century Capital Projects,Lisa Deanes,"$482,452.00",553 Days from signed Notice to Proceed,null,null,Design/Build Services for a Modular Unit for Francis Gregory Interim Library,null
DCPL-2009-C-0020,"Wednesday, December 9, 2009",21st Century Capital Projects,Dedric Boyd,"$894,950.00",60 Days from signed Notice to Proceed,null,null,Design/Build for Mount Pleasant Library,null
DCPL-2010-C-0003,"Monday, December 7, 2009",21st Century Capital Projects,null,null,120 Days from signed Notice To Proceed,null,null,"Library Shelving for Anacostia, Benning and Watha T. Daniel/Shaw Libraries",null
DCPL-2009-C-0019B,"Friday, December 4, 2009",Capital Construction,null,null,12/04/2009 – 9/30/2010,null,null,General Construction Services Georgetown Library BP-10 (Thermal Protection),null
DCPL-2009-C-0019C,"Friday, December 4, 2009",Capital Construction,null,null,12/04/2009 – 9/30/2010,null,null,General Construction Services Georgetown Library BP-11 (Elevator Systems),null
DCPL-2009-C-0019H,"Friday, December 4, 2009",Capital Construction,null,null,12/04/2009 – 9/30/2010,null,null,General Construction Services Georgetown Library BP-07 (Paving and Utilities),null
DCPL-2009-C-0019I,"Wednesday, December 2, 2009",Capital Construction,null,null,12/02/2009 – 9/30/2010,null,null,General Construction Services Georgetown Library BP-22 (Painting & Wall Covering),null
DCPL-2009-C-0019G,"Friday, November 20, 2009",Capital Construction,null,null,11/20/2009 – 9/30/2010,null,null,"General Construction Services Georgetown Library BP-21 (Tile, Cork & Carpet)",null
DCPL-2008-C-0015E,"Friday, November 6, 2009",Capital Construction,null,null,11/5/2009 – 8/5/2010,null,null,CM @ Risk for the Tenley Library (PHASE II),null
DCPL-2009-C-0019A,"Friday, November 6, 2009",Capital Construction,null,null,11/5/2009 – 9/30/2010,null,null,General Construction Services Georgetown Library BP-20 (Drywall and Plaster),null
DCPL-2009-C-0019E,"Friday, November 6, 2009",Capital Construction,null,null,11/5/2009 – 10/5/2010,null,null,General Construction Services Georgetown Library BP-08,null
DCPL-2009-C-0018,null,null,null,null,null,null,null,null,null
DCPL-2009-C-0016-A,null,null,null,null,null,null,null,null,null
DCPL-2009-R-0013,null,null,null,null,null,null,null,null,null
DCPL-2009-R-0015,null,null,null,null,null,null,null,null,null
DCPL-2008-R-0015,null,null,null,null,null,null,null,null,null
DCPL-2009-C-0014,null,null,null,null,null,null,null,null,null
DCPL-2009-R-0009,"Tuesday, August 11, 2009",Capital Construction,Chris Wright,"$875,500",5/28/09 -2/10/11,null,null,Petworth Library Design-Build Services,http://www.scribd.com/doc/18464624/contractawarddatasigaldcpl2009r0009
DCPL-2009-R-0006,"Tuesday, August 11, 2009",Capital Construction,Chris Wright,"$1,056,272",5/20/09 - 5/21/10,null,null,Northeast Library Exterior Renovation,http://www.scribd.com/doc/18464514/Contract-Award-Data-Monarc-Dcpl2009r0006
DCPL-2008-C-0010,"Tuesday, August 11, 2009",Capital Construction,Lisa Deanes,"$124,830",5/18/09 - 11/30/09,null,null,Design-Build Services at Washington Highlands Interim Library,http://www.scribd.com/doc/18464368/Contract-Award-Data-Mcn-Build-Po296622
DCPL-2008-R-0004,"Tuesday, August 11, 2009",Collections,Elissa Miller,null,null,null,null,"Books, Materials and Selected Services",http://www.scribd.com/doc/18463720/contractawarddataelissabooksmaterialsselectedmat
DCPL-2008-R-0015,"Tuesday, August 11, 2009",Capital Construction,Jeff Bonvechio,"$9,725,228.88",1/13/09 - 1/12/10,null,null,CM @ Risk for the WTD/Shaw Library,http://www.scribd.com/doc/18463313/contractawarddataforresterwtdshawpo263431v2
DCPL-2008-C-0015,null,null,null,null,null,null,null,null,http://www.scribd.com/doc/18463048/contractawarddataforrester08c0015a
DCPL-2008-C-0011,"Tuesday, August 11, 2009",21st Century Capital Projects,Christopher Wright,"$970,318 - 1,403,541",3/10/08 - 3/10/10,null,null,A/E Design Services for the Renovation and Possible Expansion of the Mount Pleasant Neighborhood Library,http://www.scribd.com/doc/18462896/contractapprovalc0011
